,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
57,East London,0,ZA,1562260005,87,-33.02,27.91,57.2,6.93
58,Torbay,90,CA,1562260006,100,47.66,-52.73,55.0,4.7
59,Salalah,75,OM,1562260008,89,17.01,54.1,84.2,8.05
60,Christchurch,63,NZ,1562260009,86,-43.53,172.64,42.01,13.87
61,Urucara,20,BR,1562260010,49,-2.54,-57.76,90.77,4.41
62,Zhigansk,94,RU,1562260011,78,66.77,123.37,49.19,1.9
63,Vaini,100,IN,1562260012,87,15.34,74.49,78.71,6.93
64,San Quintin,16,PH,1562260013,86,17.54,120.52,75.47,2.51
65,Albany,1,US,1562259911,58,42.65,-73.75,91.0,3.09
66,Nikolskoye,20,RU,1562260016,48,59.7,30.79,60.8,13.42
67,Naze,75,NG,1562260017,88,5.43,7.07,80.6,13.87
68,Araouane,13,ML,1562260018,12,18.9,-3.53,108.77,8.66
69,Beloslav,0,BG,1562260019,61,43.19,27.7,77.0,12.75
70,Hirara,99,JP,1562260020,83,24.8,125.28,84.11,19.19
71,Qaqortoq,20,GL,1562260022,39,60.72,-46.03,62.6,8.05
72,Cidreira,42,BR,1562260023,51,-30.17,-50.22,52.97,14.23
73,Esperance,90,AU,1562260024,76,-33.86,121.89,57.2,5.82
74,Butaritari,70,KI,1562260025,70,3.07,172.79,83.57,6.69
75,Mareeba,6,AU,1562260026,82,-16.99,145.42,68.0,5.82
76,Santa Isabel do Rio Negro,22,BR,1562260027,86,-0.41,-65.02,82.85,1.48
77,Castro,40,CL,1562260029,81,-42.48,-73.76,46.4,2.24
78,Saint-Joseph,16,FR,1562260030,62,43.56,6.97,87.8,5.82
79,Agirish,42,RU,1562260031,69,61.92,63.02,63.59,6.38
80,Dikson,98,RU,1562260032,94,73.51,80.55,34.79,14.27
81,Kahului,20,US,1562260033,73,20.89,-156.47,75.2,12.33
82,Meulaboh,100,ID,1562260034,69,4.14,96.13,84.29,4.21
83,San Patricio,0,PY,1562260035,51,-26.98,-56.83,58.01,9.13
84,Mazyr,10,BY,1562260037,69,52.05,29.27,56.57,8.88
85,Brandon,40,US,1562260038,69,43.59,-96.57,79.0,8.05
86,Hobart,0,AU,1562260039,93,-42.88,147.33,41.0,8.05
87,Neuquen,75,AR,1562260040,86,-38.95,-68.06,41.0,3.36
88,Lagoa,20,PT,1562260041,77,37.14,-8.45,73.0,12.75
89,Cotusca,20,RO,1562260042,64,48.13,26.85,73.99,9.17
90,Faya,40,SA,1562260044,64,18.39,42.45,75.2,11.41
91,Dengfeng,0,CN,1562260045,65,34.46,113.03,72.23,3.58
92,Upernavik,0,GL,1562260046,70,72.79,-56.15,42.53,10.54
93,Clyde River,90,CA,1562259788,100,70.47,-68.59,35.6,6.93
94,Bluff,100,AU,1562260048,85,-23.58,149.07,59.27,19.17
95,Hubli,98,IN,1562259881,87,15.35,75.17,72.95,20.58
96,Dzhebariki-Khaya,88,RU,1562260050,83,62.22,135.8,47.21,3.67
97,Lakes Entrance,42,AU,1562260051,96,-37.88,147.99,44.01,4.14
98,Elko,1,US,1562260053,45,40.83,-115.76,66.99,4.7
99,Ginda,37,IN,1562260054,89,30.69,78.49,63.95,4.7
100,Alice Springs,0,AU,1562259901,60,-23.7,133.88,41.0,4.7
101,Novo Aripuana,4,BR,1562260056,61,-5.12,-60.38,89.87,1.12
102,Grand Gaube,40,MU,1562260057,78,-20.01,57.66,71.6,9.17
103,Necochea,100,AR,1562259829,80,-38.55,-58.74,46.0,5.01
104,Kysyl-Syr,100,RU,1562260059,98,63.9,122.77,48.29,6.08
105,Zalari,0,RU,1562260060,68,53.57,102.52,54.77,2.71
106,Chokurdakh,45,RU,1562260061,77,70.62,147.9,45.23,5.14
107,Severo-Kurilsk,99,RU,1562260063,97,50.68,156.12,42.17,11.1
108,Yeppoon,90,AU,1562260064,88,-23.13,150.74,62.6,10.29
109,Busselton,78,AU,1562260065,98,-33.64,115.35,51.01,28.61
110,Hashtrud,0,IR,1562260066,46,37.48,47.05,67.91,7.81
111,Chateaubelair,40,VC,1562260067,88,13.28,-61.25,82.4,11.41
112,Qaanaaq,96,GL,1562260068,58,77.48,-69.36,42.71,3.49
113,Buala,4,SB,1562260069,83,-8.15,159.59,78.53,8.46
114,Galyugayevskaya,40,RU,1562260071,83,43.7,44.93,69.8,4.47
115,Sorong,100,ID,1562260072,96,-0.86,131.25,72.77,6.2
116,Barrow,93,AR,1562260073,65,-38.31,-60.23,43.61,20.11
117,Brufut,20,GM,1562260074,62,13.38,-16.75,87.8,11.41
118,Cam Ranh,20,VN,1562260075,62,11.92,109.15,86.0,9.17
119,Port Lincoln,0,AU,1562260076,73,-34.72,135.86,56.75,20.76
120,Sisimiut,97,GL,1562260078,86,66.94,-53.67,40.55,11.77
121,Lata,82,IN,1562260079,88,30.78,78.62,45.95,2.48
122,Sitka,0,US,1562260080,50,37.17,-99.65,88.0,13.0
123,Macae,20,BR,1562260081,70,-22.37,-41.79,84.2,10.29
124,Marzuq,94,YE,1562260082,26,14.4,46.47,85.91,5.91
125,Havelock,40,US,1562260080,62,34.88,-76.9,93.2,8.05
126,Tasiilaq,20,GL,1562260084,47,65.61,-37.64,55.4,14.99
127,Poopo,0,BO,1562260085,22,-18.38,-66.97,53.6,6.93
128,Kupang,0,ID,1562260087,73,-10.16,123.6,73.67,13.29
129,Mananjary,2,MG,1562260088,68,-19.16,46.8,60.89,7.81
130,Guerrero Negro,0,MX,1562260089,86,27.97,-114.04,64.13,11.56
131,Jambi,48,ID,1562260018,94,-1.6,103.62,74.75,2.15
132,Bam,0,IR,1562260091,15,29.11,58.36,78.89,10.8
133,Floriano,69,BR,1562260049,45,-6.77,-43.02,90.05,4.59
134,Ambilobe,100,MG,1562260093,67,-13.19,49.05,75.83,11.21
135,Shakawe,3,BW,1562260094,28,-18.36,21.84,62.87,4.34
136,Marsaxlokk,0,MT,1562260096,45,35.84,14.54,87.8,8.05
137,Georgetown,75,GY,1562260097,79,6.8,-58.16,87.8,13.87
138,Hoi An,20,VN,1562260098,58,15.88,108.33,86.0,3.36
139,Amapa,40,HN,1562260099,52,15.09,-87.97,93.0,4.7
140,Cururupu,6,BR,1562260100,61,-1.82,-44.87,86.81,5.88
141,Acapulco,90,MX,1562260101,83,16.86,-99.88,82.4,2.24
142,Nueve de Julio,98,AR,1562260102,49,-31.67,-68.39,48.11,15.23
143,Jamalpur,97,BD,1562260104,76,24.93,89.95,85.91,9.48
144,Bethel,90,US,1562260105,100,60.79,-161.76,51.8,2.15
145,Faanui,100,PF,1562260106,77,-16.48,-151.75,75.47,31.92
146,Kaitangata,87,NZ,1562260107,83,-46.28,169.85,43.0,4.0
147,Saldanha,94,PT,1562260108,24,41.42,-6.55,82.31,9.13
148,Santa Lucia,0,IT,1562260109,40,41.98,12.66,93.2,8.05
149,Husavik,7,CA,1562260110,29,50.56,-96.99,75.99,11.01
150,Semirom,71,IR,1562260112,15,31.41,51.57,72.23,2.66
151,Labuhan,70,ID,1562260113,94,-2.54,115.51,71.33,1.48
152,Paamiut,56,GL,1562260114,77,61.99,-49.67,44.51,3.67
153,Vila Velha,0,BR,1562260115,58,-3.71,-38.6,86.0,18.34
154,Hobyo,100,SO,1562260116,74,5.35,48.53,77.99,27.65
155,Dhidhdhoo,92,MV,1562260117,77,6.88,73.1,83.21,11.39
156,Lavrentiya,92,RU,1562260118,82,65.58,-170.99,49.91,10.29
157,Provideniya,98,RU,1562260120,87,64.42,-173.23,49.19,4.99
158,Dingle,25,PH,1562260121,82,11.0,122.67,74.39,2.48
159,Charters Towers,99,AU,1562260122,94,-20.07,146.27,60.53,12.17
160,Ostrovnoy,100,RU,1562260123,95,68.05,39.51,48.65,11.56
161,Zagora,20,BA,1562260124,51,42.81,18.2,89.6,4.7
162,Umm Lajj,0,SA,1562260125,70,25.02,37.27,85.01,9.04
163,Bowen,90,AU,1562260126,88,-20.01,148.25,68.0,12.75
164,Nhulunbuy,51,AU,1562260128,88,-12.18,136.78,68.0,3.36
165,Puerto Ayora,20,EC,1562260129,61,-0.74,-90.35,78.8,14.99
166,Porto Novo,90,BR,1562260130,93,-23.68,-45.44,64.4,1.12
167,Broome,20,GB,1562260131,49,52.47,1.45,78.01,12.75
168,Sioux Lookout,90,CA,1562259833,72,50.1,-91.92,66.2,2.24
169,Urman,0,UA,1562260133,79,49.57,24.95,58.19,3.6
170,Isangel,0,VU,1562260134,76,-19.55,169.27,74.39,9.64
171,Lebu,20,ET,1562260136,82,8.96,38.73,60.8,1.12
172,Trairi,36,BR,1562260137,60,-3.28,-39.27,86.09,7.67
173,Arraial do Cabo,75,BR,1562260138,78,-22.97,-42.02,77.0,10.29
174,Gizo,0,IL,1562260139,58,31.8,34.94,82.99,9.17
175,Yaan,96,NG,1562260140,92,7.38,8.57,78.17,4.36
176,Crotone,0,IT,1562260141,34,39.09,17.12,93.2,4.7
177,Norman Wells,40,CA,1562260142,59,65.28,-126.83,64.4,11.41
178,Ukiah,1,US,1562259979,55,39.15,-123.21,81.0,3.36
179,Taboga,0,IT,1562260145,45,46.27,13.11,84.99,17.22
180,Colac,1,AU,1562260146,91,-38.34,143.59,48.0,3.0
181,Kumbo,98,CM,1562260147,96,6.21,10.69,64.31,2.93
182,Yellowknife,20,CA,1562260148,51,62.45,-114.38,62.6,4.7
183,Sao Joao da Barra,0,BR,1562260149,35,-21.64,-41.05,89.6,4.7
184,Ca Mau,82,VN,1562260013,94,9.18,105.15,77.45,2.3
185,Kalmunai,90,LK,1562260151,75,7.42,81.82,79.25,3.62
186,Whitehorse,75,CA,1562259931,67,60.72,-135.06,64.99,2.24
187,Henties Bay,0,NA,1562260154,82,-22.12,14.28,59.0,11.74
188,Oyama,40,JP,1562260155,93,36.31,139.8,70.0,10.29
189,Chabahar,0,IR,1562260156,84,25.29,60.65,83.75,5.82
190,Kotelnikovo,93,RU,1562260157,80,47.63,43.14,68.27,7.09
191,Soyo,16,AO,1562260043,73,-6.13,12.37,77.0,8.05
192,Devils Lake,1,US,1562260159,53,48.11,-98.87,71.6,8.25
193,Geraldton,75,CA,1562260160,45,49.72,-86.95,82.4,18.34
194,Poum,20,MK,1562260162,54,41.28,20.71,78.8,11.41
195,Sao Filipe,92,CV,1562260163,85,14.9,-24.5,73.85,20.27
196,Alofi,9,NU,1562260164,73,-19.06,-169.92,73.4,13.87
197,Vila Franca do Campo,75,PT,1562260067,93,37.72,-25.43,66.2,3.36
198,Victoria,75,BN,1562260166,94,5.28,115.24,78.8,5.99
199,Shingu,92,JP,1562260167,95,33.72,135.99,64.49,3.98
200,Atikokan,100,CA,1562259872,55,48.76,-91.62,77.81,3.71
201,Yulara,0,AU,1562260169,52,-25.24,130.99,44.6,6.93
202,Cedar City,1,US,1562260170,18,37.68,-113.06,78.01,3.36
203,Gull Lake,1,CA,1562260172,59,50.1,-108.48,62.6,3.24
204,Takoradi,99,GH,1562260173,88,4.89,-1.75,75.83,6.31
205,Sungaipenuh,79,ID,1562260174,89,-2.08,101.38,73.49,1.99
206,Tocopilla,77,CL,1562260175,79,-22.09,-70.2,57.65,4.29
207,Iqaluit,75,CA,1562260176,75,63.75,-68.52,46.4,18.34
208,Souillac,0,FR,1562260177,41,45.6,-0.6,91.4,3.36
209,Jardim,92,BR,1562260178,95,-21.48,-56.15,60.89,3.44
210,Ribeira Grande,40,PT,1562260180,57,38.52,-28.7,77.0,9.17
211,Macon,1,US,1562260181,52,32.84,-83.63,93.2,4.7
212,Veraval,0,FR,1562260182,31,49.65,0.71,80.01,6.93
213,Rafaela,45,AR,1562260106,33,-31.25,-61.49,60.01,5.01
214,Flin Flon,75,CA,1562260184,67,54.77,-101.88,59.0,12.75
215,Coquimbo,0,CL,1562260185,62,-29.95,-71.34,69.01,10.29
216,Morgan City,20,US,1562260186,62,29.7,-91.21,96.01,3.36
217,Qidong,100,CN,1562260188,81,31.81,121.66,81.0,4.52
218,Joao Pessoa,75,BR,1562260189,70,-7.12,-34.86,84.2,12.75
219,Komsomolskiy,41,RU,1562260190,74,67.55,63.78,67.91,11.3
220,Vanimo,43,PG,1562260191,77,-2.67,141.3,80.87,5.79
221,Port-Gentil,75,GA,1562260192,88,-0.72,8.78,75.2,10.29
222,Rockhampton,90,AU,1562260193,88,-23.38,150.51,62.6,10.29
223,North Bend,1,US,1562260194,68,43.41,-124.22,64.4,11.41
224,Mao,40,DO,1562260196,52,19.55,-71.08,91.4,9.17
225,Minab,0,IR,1562260197,56,27.15,57.07,95.0,4.7
226,Rocha,25,UY,1562260035,64,-34.48,-54.34,45.05,20.38
227,Santiago del Estero,0,AR,1562260199,39,-27.8,-64.26,61.25,5.17
228,Crestview,20,US,1562260200,62,30.76,-86.57,96.01,4.7
229,Khatanga,100,RU,1562260201,63,71.98,102.47,51.17,13.11
230,Saint-Philippe,1,CA,1562260012,52,45.36,-73.48,93.0,6.98
231,Kholbon,12,RU,1562260203,58,51.9,116.25,47.39,8.88
232,Buraydah,0,SA,1562260205,16,26.33,43.97,105.8,9.17
233,Caraquet,1,CA,1562260206,57,47.79,-64.94,80.6,8.05
234,Igarka,29,RU,1562260207,58,67.47,86.57,67.91,3.31
235,San Mateo del Mar,48,MX,1562260208,41,16.21,-94.98,95.45,12.97
236,Carnarvon,1,ZA,1562260209,24,-30.97,22.13,51.35,8.57
237,Hukuntsi,0,BW,1562260210,29,-23.98,21.76,53.33,2.15
238,Leningradskiy,100,RU,1562260211,98,69.38,178.42,35.51,4.56
239,Tuktoyaktuk,90,CA,1562260213,93,69.44,-133.03,50.0,16.11
240,Vestmannaeyjar,40,IS,1562260214,93,63.44,-20.27,51.8,16.11
241,Loutra,0,GR,1562260215,45,35.35,24.59,89.6,8.05
242,Grindavik,40,IS,1562260216,71,63.84,-22.43,53.6,14.99
243,Valparaiso,40,US,1562260217,34,41.47,-87.06,89.01,8.05
244,Namatanai,90,PG,1562260218,84,-3.66,152.44,79.07,14.52
245,Yokadouma,100,CM,1562260220,97,3.52,15.05,69.35,1.88
246,Kamaishi,37,JP,1562260221,97,39.28,141.86,54.23,1.7
247,Uglich,100,RU,1562260222,94,57.53,38.32,46.67,13.18
248,Glogow,0,PL,1562260223,30,51.66,16.08,73.99,13.87
249,Oum Hadjer,0,TD,1562260224,37,13.3,19.7,95.63,11.68
250,Zhangye,24,CN,1562260225,19,38.94,100.46,70.97,5.26
251,Saint-Augustin,40,CA,1562260226,58,45.63,-73.98,91.0,8.05
252,Saint George,0,GR,1562260228,31,39.45,22.34,95.0,9.17
253,Ilhabela,100,BR,1562260229,92,-23.78,-45.36,67.37,22.75
254,Nalut,0,LY,1562260230,22,31.86,10.98,91.49,15.17
255,Tigil,0,RU,1562260231,85,57.8,158.67,45.59,1.43
256,Pundaguitan,100,PH,1562260232,73,6.37,126.17,80.33,2.37
257,Karratha,20,AU,1562260233,81,-20.74,116.85,68.99,4.52
258,Kerrville,90,US,1562259988,88,30.05,-99.14,82.99,8.05
259,Kerman,0,IR,1562260236,8,30.29,57.06,91.4,11.41
260,Plast,0,RU,1562260237,83,54.37,60.81,60.35,6.71
261,Pingliang,0,CN,1562260238,66,35.54,106.68,58.01,5.19
262,Longyearbyen,0,NO,1562260239,61,78.22,15.63,50.0,20.8
263,Dongsheng,100,CN,1562260240,73,29.72,112.52,73.67,3.13
264,Mar del Plata,0,AR,1562260087,59,-46.43,-67.52,36.41,11.45
265,Mackay,40,CA,1562260242,71,53.65,-115.58,57.2,4.36
266,Rapina,40,EE,1562260243,58,58.1,27.46,60.8,6.71
267,Shache,0,CN,1562260245,92,38.42,77.24,78.01,6.98
268,Pimentel,4,BR,1562260246,73,-3.7,-45.5,85.01,4.41
269,Awbari,0,LY,1562260247,8,26.59,12.77,98.51,10.92
270,Goderich,1,CA,1562260248,65,43.74,-81.71,84.99,8.01
271,Mayo,90,CA,1562260249,59,63.59,-135.9,64.4,6.93
272,Santa Maria da Vitoria,0,BR,1562260250,23,-13.39,-44.19,92.75,3.49
273,Seddon,0,AU,1562260251,93,-37.81,144.89,45.0,5.82
274,Kovdor,100,RU,1562260253,81,67.56,30.47,54.59,2.98
275,Osypenko,0,UA,1562260254,46,48.04,34.39,69.8,13.42
276,Honiara,40,SB,1562260255,94,-9.43,159.96,73.4,12.01
277,Ostersund,0,SE,1562260153,66,63.18,14.64,50.0,4.7
278,Mahon,40,IE,1562260257,68,51.89,-8.4,69.8,5.82
279,Dali,0,CN,1562260258,54,34.79,109.94,74.21,2.62
280,Bolu,0,TR,1562260259,92,40.73,31.61,63.95,1.16
281,Atar,0,MR,1562260260,6,20.52,-13.05,113.27,14.12
282,Zhicheng,0,CN,1562260262,46,35.04,112.59,78.17,5.82
283,Mackenzie,1,CA,1562260263,67,55.34,-123.09,59.0,8.05
284,Dhone,96,IN,1562260264,65,15.4,77.87,81.23,19.44
285,Berlevag,40,NO,1562260265,76,70.86,29.09,50.0,12.75
286,Arlit,10,NE,1562260266,10,18.74,7.39,106.79,5.77
287,Busca,20,IT,1562260267,48,44.52,7.47,87.01,3.36
288,Tura,68,RU,1562260269,69,64.27,100.22,67.55,6.24
289,Zaozerne,41,UA,1562260270,68,51.37,23.94,58.19,5.21
290,Phan Thiet,9,VN,1562260225,94,10.93,108.1,72.59,4.29
291,Fairbanks,75,US,1562260077,67,64.84,-147.72,62.6,5.82
292,Ayan,12,IR,1562260273,52,38.23,44.7,58.55,3.53
293,Belyy Yar,0,RU,1562260274,73,53.6,91.39,69.8,6.71
294,Mutis,40,CO,1562260275,79,6.23,-77.4,81.41,10.33
295,Batagay-Alyta,98,RU,1562260276,79,67.8,130.41,38.03,2.48
296,Mehamn,75,NO,1562260278,81,71.03,27.85,50.0,8.05
297,Balkhash,19,KZ,1562260279,34,46.84,74.98,78.17,3.89
298,Touros,14,BR,1562260280,81,-5.2,-35.46,80.51,18.54
299,Kloulklubed,75,PW,1562260281,88,7.04,134.26,77.0,6.93
300,Najran,0,SA,1562260282,40,17.54,44.22,96.8,11.41
301,Miles City,90,US,1562260049,87,46.41,-105.84,66.0,4.7
302,Vao,64,EE,1562260284,72,59.1,26.19,54.41,2.35
303,Darhan,0,MN,1562260286,58,49.49,105.92,54.41,5.99
304,Sampit,64,ID,1562260287,96,-2.54,112.95,73.31,1.74
305,Richards Bay,0,ZA,1562260288,63,-28.77,32.06,68.99,7.87
306,Westport,40,US,1562260289,43,41.14,-73.36,91.0,4.7
307,Nemuro,92,JP,1562260290,96,43.32,145.57,51.71,10.16
308,Laguna,40,BZ,1562260291,62,16.17,-88.94,89.6,6.93
309,Avera,75,US,1562260292,59,33.19,-82.53,93.2,1.95
310,Mount Isa,0,AU,1562260294,44,-20.73,139.49,60.8,8.05
311,Shagonar,95,RU,1562260295,65,51.54,92.92,59.81,3.42
312,Chuy,33,UY,1562260296,59,-33.69,-53.46,48.47,18.81
313,Clarence Town,75,AU,1562260297,82,-32.59,151.78,60.01,3.36
314,Tommot,87,RU,1562260298,91,58.97,126.27,41.09,4.12
315,Vuktyl,39,RU,1562260299,81,63.86,57.31,63.77,10.18
316,Morristown,1,US,1562260154,61,36.21,-83.29,87.01,3.09
317,Byron Bay,75,AU,1562260302,88,-28.65,153.62,64.4,8.05
318,Ola,100,RU,1562260303,93,59.58,151.3,44.69,5.32
319,Oistins,40,BB,1562260160,79,13.07,-59.53,84.2,25.28
320,Pedernales,100,EC,1562260305,88,0.07,-80.05,76.01,17.43
321,Morehead,75,US,1562260306,65,38.18,-83.43,87.01,6.04
322,Staryy Nadym,54,RU,1562260307,72,65.61,72.68,70.07,3.53
323,Terrace,90,CA,1562260308,87,54.52,-128.61,59.0,4.7
324,Solwezi,19,ZM,1562260310,57,-12.18,26.4,60.89,5.48
325,Porto Nacional,20,BR,1562260311,36,-10.7,-48.41,91.4,5.82
326,Jalu,0,LY,1562260312,17,29.03,21.55,87.17,6.67
327,Krasnoarmeysk,40,RU,1562260313,62,56.12,38.15,62.6,11.18
328,Det Udom,75,TH,1562260314,88,14.9,105.08,78.8,4.7
329,Ati,12,TD,1562260315,26,13.21,18.34,100.31,4.36
330,Sakaiminato,20,JP,1562260317,88,35.55,133.23,69.8,1.12
331,Kruisfontein,17,ZA,1562260318,88,-34.0,24.73,51.71,7.31
332,Dakar,0,SN,1562260319,65,14.69,-17.45,82.4,17.22
333,Golden,75,US,1562260267,68,39.76,-105.22,75.0,8.05
334,Arman,100,RU,1562260321,95,59.7,150.17,43.97,3.36
335,Panguipulli,90,CL,1562260322,100,-39.64,-72.33,46.0,1.12
336,Tabora,2,TZ,1562260324,39,-5.02,32.81,68.81,1.12
337,Pisco,90,PE,1562260325,30,-13.71,-76.2,71.6,4.7
338,Taoudenni,45,ML,1562260326,8,22.68,-3.98,113.09,16.89
339,Havre-Saint-Pierre,1,CA,1562260263,56,50.23,-63.6,68.0,9.17
340,Sibolga,5,ID,1562260328,71,1.74,98.78,83.93,5.44
341,Namibe,0,AO,1562260329,74,-15.19,12.15,70.61,10.76
342,Sfantu Gheorghe,0,RO,1562260330,51,44.65,26.83,82.99,2.53
343,Craig,1,US,1562260332,37,40.52,-107.55,71.01,5.82
344,Beringovskiy,49,RU,1562260333,76,63.05,179.32,53.69,5.39
345,Corrales,4,CO,1562260334,40,5.83,-72.84,67.91,4.63
346,Fortuna,90,US,1562260335,100,40.6,-124.16,66.99,8.05
347,Praia da Vitoria,75,PT,1562260336,73,38.73,-27.07,71.6,7.67
348,Cayenne,3,GF,1562260337,74,4.94,-52.33,84.2,11.41
349,Mantua,20,IT,1562260338,45,45.16,10.79,88.0,4.7
350,Bambous Virieux,40,MU,1562260340,78,-20.34,57.76,71.6,9.17
351,Lukovetskiy,90,RU,1562260341,93,64.29,41.92,60.8,6.71
352,Pevek,97,RU,1562260342,98,69.7,170.27,33.35,7.76
353,Kodiak,1,US,1562260343,47,39.95,-94.76,78.8,5.77
354,Sindor,98,RU,1562260344,89,62.87,51.9,58.19,4.92
355,Hami,46,CN,1562260345,22,42.84,93.51,84.65,36.39
356,Luanda,20,AO,1562260347,88,-8.83,13.24,73.4,8.05
357,Alyangula,6,AU,1562260348,93,-13.85,136.42,59.0,3.36
358,Airai,0,TL,1562260349,79,-8.93,125.41,64.49,5.32
359,Tual,57,ID,1562260350,82,-5.67,132.75,77.09,17.54
360,Roebourne,3,AU,1562260351,83,-20.77,117.15,67.01,3.78
361,Canapi,12,BR,1562260352,39,-9.12,-37.6,87.71,8.12
362,Pojuca,20,BR,1562260353,78,-12.42,-38.33,82.4,13.87
363,Kaupanger,40,NO,1562260355,57,61.18,7.24,51.8,20.8
364,Kununurra,0,AU,1562260356,71,-15.77,128.74,53.6,8.68
365,Huanren,11,CN,1562260357,98,41.26,125.37,60.17,4.9
366,Sao Gabriel da Cachoeira,40,BR,1562260358,74,-0.13,-67.09,84.2,3.36
367,Hay River,75,CA,1562260359,87,60.82,-115.79,51.8,4.7
368,Kutina,0,HR,1562260360,69,45.48,16.78,73.4,2.24
369,Kapit,68,MY,1562260362,92,2.02,112.94,69.89,1.68
370,Jishou,100,CN,1562260363,78,28.26,109.7,70.07,1.81
371,Hamilton,40,CA,1562260364,58,43.26,-79.87,89.01,4.7
372,Pacific Grove,90,US,1562260365,76,36.62,-121.92,64.0,6.93
373,Ahipara,18,NZ,1562260366,68,-35.17,173.16,56.21,16.11
374,Lasa,0,CY,1562260367,78,34.92,32.53,80.6,13.87
375,College,75,US,1562260368,67,64.86,-147.8,62.6,5.82
